epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,417.754,0.55203,1.56834,1.14113,0.90705,0.95455,0.97423,0.79208,0.63926,1.6817,1.25992,0.000660317,0.000660317,0.000660317
2,847.937,0.60397,0.98459,1.14703,0.76442,0.87443,0.88118,0.57857,0.93978,1.6239,1.46737,0.00131056,0.00131056,0.00131056
3,1282.46,0.65302,0.8697,1.16323,0.88062,0.77922,0.87731,0.59497,1.1736,1.27366,1.94705,0.00194431,0.00194431,0.00194431
4,1717.17,0.65821,0.76006,1.17509,0.78831,0.89935,0.8826,0.46649,1.43648,1.42154,1.94179,0.00192575,0.00192575,0.00192575
5,2151.4,0.62499,0.69629,1.15879,0.91089,0.9026,0.94389,0.75387,0.68765,0.86669,1.26954,0.001901,0.001901,0.001901
6,2587.46,0.58595,0.6528,1.12751,0.90667,0.94621,0.96941,0.78288,0.6668,0.71891,1.17183,0.00187625,0.00187625,0.00187625
7,3002.53,0.53734,0.56728,1.09791,0.91664,0.97403,0.97344,0.81537,0.59164,0.5841,1.09314,0.0018515,0.0018515,0.0018515
8,3394.89,0.5497,0.54446,1.10004,0.94582,0.91234,0.95333,0.79225,0.61347,0.72144,1.11552,0.00182675,0.00182675,0.00182675
9,3787,0.5271,0.53464,1.08903,0.96575,0.97727,0.99066,0.85367,0.56633,0.50705,1.04464,0.001802,0.001802,0.001802
10,4211.22,0.48545,0.48444,1.05211,0.87315,0.91558,0.9482,0.77031,0.66228,0.7045,1.15955,0.00177725,0.00177725,0.00177725
11,4622.66,0.48686,0.46627,1.06457,0.95595,0.96104,0.98131,0.85361,0.50533,0.44245,0.97714,0.0017525,0.0017525,0.0017525
12,5022.24,0.46354,0.45586,1.04677,0.97033,0.95564,0.98671,0.88333,0.44161,0.44508,0.92968,0.00172775,0.00172775,0.00172775
13,5433.13,0.45361,0.42567,1.0417,0.98766,0.98377,0.99275,0.87087,0.51606,0.38426,0.98909,0.001703,0.001703,0.001703
14,5851.19,0.44472,0.41929,1.0325,0.98222,0.98701,0.99191,0.88722,0.49602,0.37855,0.97924,0.00167825,0.00167825,0.00167825
15,6268.71,0.46149,0.42221,1.04508,0.94953,0.96104,0.98648,0.84974,0.54267,0.44728,1.03731,0.0016535,0.0016535,0.0016535
16,6675.61,0.44925,0.42798,1.03499,0.93749,0.97078,0.97936,0.8679,0.46465,0.42369,0.93443,0.00162875,0.00162875,0.00162875
17,7082.91,0.44033,0.41106,1.01663,0.96665,0.97727,0.98881,0.90597,0.43309,0.37146,0.9059,0.001604,0.001604,0.001604
18,7493.15,0.43076,0.3952,1.03301,0.97228,0.97403,0.98734,0.88176,0.44907,0.38357,0.93241,0.00157925,0.00157925,0.00157925
19,7901.97,0.43559,0.3969,1.03799,0.95254,0.97744,0.99054,0.88661,0.45411,0.38824,0.91618,0.0015545,0.0015545,0.0015545
20,8315.34,0.42245,0.40233,1.02429,0.94713,0.97078,0.98229,0.835,0.57509,0.43694,1.07732,0.00152975,0.00152975,0.00152975
21,8733.31,0.42135,0.3845,1.01712,0.97435,0.9865,0.98958,0.87996,0.46345,0.32933,0.95845,0.001505,0.001505,0.001505
22,9144.48,0.40838,0.375,1.01009,0.97095,0.97657,0.99084,0.92451,0.37762,0.36076,0.84851,0.00148025,0.00148025,0.00148025
23,9556.52,0.39439,0.34579,1.00151,0.9831,0.98701,0.99148,0.91477,0.41162,0.29939,0.87558,0.0014555,0.0014555,0.0014555
24,9971.99,0.37955,0.33651,0.98806,0.98265,0.98377,0.99082,0.91957,0.38409,0.29771,0.84132,0.00143075,0.00143075,0.00143075
25,10385.2,0.38103,0.34674,0.99892,0.97403,0.98052,0.99356,0.90244,0.42837,0.31992,0.86964,0.001406,0.001406,0.001406
26,10800.8,0.37134,0.33661,0.98686,0.98699,0.99026,0.99437,0.92111,0.42306,0.31384,0.89534,0.00138125,0.00138125,0.00138125
27,11216.3,0.38244,0.35179,1.00056,0.99348,0.98965,0.99391,0.90647,0.38754,0.32111,0.84262,0.0013565,0.0013565,0.0013565
28,11634.2,0.37172,0.33647,0.99287,0.98359,0.97403,0.99168,0.91288,0.39841,0.32716,0.8628,0.00133175,0.00133175,0.00133175
29,12050.6,0.38671,0.33227,1.00187,0.98384,0.98844,0.99394,0.94868,0.32856,0.25156,0.79262,0.001307,0.001307,0.001307
30,12461.4,0.35465,0.32089,0.98263,0.97978,0.99026,0.99314,0.9268,0.34146,0.28525,0.81251,0.00128225,0.00128225,0.00128225
31,12868.4,0.35683,0.31701,0.9826,0.99648,0.99351,0.99353,0.94595,0.33884,0.25947,0.81408,0.0012575,0.0012575,0.0012575
32,13274.1,0.36858,0.33173,0.99018,0.92347,0.9794,0.97327,0.90767,0.36595,0.35392,0.84643,0.00123275,0.00123275,0.00123275
33,13684.3,0.37482,0.32859,0.99428,0.99673,0.98872,0.99497,0.93705,0.3905,0.2818,0.83534,0.001208,0.001208,0.001208
34,14093,0.35388,0.3136,0.97507,0.99333,0.99351,0.99497,0.95128,0.3089,0.24079,0.77217,0.00118325,0.00118325,0.00118325
35,14502.5,0.34693,0.30716,0.98435,0.99186,0.99026,0.99385,0.9339,0.34548,0.27474,0.82535,0.0011585,0.0011585,0.0011585
36,14911.5,0.34204,0.31056,0.97207,0.98386,0.98974,0.99458,0.95303,0.31936,0.25526,0.79049,0.00113375,0.00113375,0.00113375
37,15322.4,0.3351,0.29654,0.97405,0.97132,0.98974,0.98252,0.9164,0.35209,0.30217,0.83163,0.001109,0.001109,0.001109
38,15728.3,0.33987,0.29077,0.97613,0.99641,0.99351,0.99409,0.95104,0.31982,0.25586,0.78234,0.00108425,0.00108425,0.00108425
39,16134.5,0.31912,0.28866,0.9655,0.99025,0.98907,0.9919,0.95377,0.30765,0.26333,0.77746,0.0010595,0.0010595,0.0010595
40,16541.3,0.3199,0.28318,0.95884,0.99252,0.98377,0.99435,0.96054,0.30872,0.24963,0.77531,0.00103475,0.00103475,0.00103475
