ID,Audio File ,File Path,Label ,Speaker,Duration_sec,Source
1,1.wav,1.wav,Natural,Actor 01,3.237,Kaggle
2,2.wav,2.wav,Natural,Actor 01,3.237,Kaggle
3,3.wav,3.wav,Natural,Actor 01,3.237,Kaggle
4,4.wav,4.wav,Natural,Actor 01,3.237,Kaggle
5,5.wav,5.wav,Natural,Actor 01,3.237,Kaggle
6,6.wav,6.wav,Natural,Actor 01,3.237,Kaggle
7,7.wav,7.wav,Natural,Actor 01,3.237,Kaggle
8,8.wav,8.wav,Natural,Actor 01,3.237,Kaggle
9,9.wav,9.wav,Natural,Actor 02,1.602,Kaggle
10,10.wav,10.wav,Natural,Actor 02,2.469,Kaggle
11,11.wav,11.wav,Natural,Actor 02,2.603,Kaggle
12,12.wav,12.wav,Natural,Actor 02,2.436,Kaggle
13,13.wav,13.wav,Natural,Actor 02,2.836,Kaggle
14,14.wav,14.wav,Natural,Actor 02,2.269,Kaggle
15,15.wav,15.wav,Natural,Actor 02,2.302,Kaggle
16,16.wav,16.wav,Natural,Actor 02,2.569,Kaggle
17,17.wav,17.wav,Natural,Actor 02,2.539,Kaggle
18,18.wav,18.wav,Natural,Actor 02,2.436,Kaggle
19,19.wav,19.wav,Natural,Actor 02,2.736,Kaggle
20,20.wav,20.wav,Natural,Actor 03,2.502,Kaggle
21,21.wav,21.wav,Natural,Actor 03,2.569,Kaggle
22,22.wav,22.wav,Natural,Actor 03,2.336,Kaggle
23,23.wav,23.wav,Natural,Actor 03,2.502,Kaggle
24,24.wav,24.wav,Natural,Actor 03,2.336,Kaggle
25,25.wav,25.wav,Natural,Actor 03,2.636,Kaggle
26,26.wav,26.wav,Natural,Actor 03,2.502,Kaggle
27,27.wav,27.wav,Natural,Actor 03,2.869,Kaggle
28,28.wav,28.wav,Natural,Actor 03,2.636,Kaggle
29,29.wav,29.wav,Natural,Actor 03,2.369,Kaggle
30,30.wav,30.wav,Natural,Actor 03,2.436,Kaggle
31,31.wav,31.wav,Natural,Actor 04,3.237,Kaggle
32,32.wav,32.wav,Natural,Actor 04,2.269,Kaggle
33,33.wav,33.wav,Natural,Actor 04,3.203,Kaggle
34,34.wav,34.wav,Natural,Actor 04,4.037,Kaggle
35,35.wav,35.wav,Natural,Actor 04,3.737,Kaggle
36,36.wav,36.wav,Natural,Actor 04,3.937,Kaggle
37,37.wav,37.wav,Natural,Actor 04,2.903,Kaggle
38,38.wav,38.wav,Natural,Actor 04,3.737,Kaggle
39,39.wav,39.wav,Natural,Actor 04,3.671,Kaggle
40,40.wav,40.wav,Natural,Actor 04,2.536,Kaggle
41,41.wav,41.wav,Natural,Actor 04,3.437,Kaggle
42,42.wav,42.wav,Natural,Actor 04,3.437,Kaggle
43,43.wav,43.wav,Natural,Actor 04,3.103,Kaggle
44,44.wav,44.wav,Natural,Actor 04,2.336,Kaggle
45,45.wav,45.wav,Natural,Actor 04,3.637,Kaggle
46,46.wav,46.wav,Natural,Actor 04,2.236,Kaggle
47,47.wav,47.wav,Natural,Actor 04,3.904,Kaggle
48,48.wav,48.wav,Natural,Actor 04,3.036,Kaggle
49,49.wav,49.wav,Natural,Actor 04,3.704,Kaggle
50,50.wav,50.wav,Natural,Actor 04,2.469,Kaggle
51,51.wav,51.wav,Friendly,Actor 05,16.541,Own_Recoding
52,52.wav,52.wav,Friendly,Actor 05,12.681,Own_Recoding
53,53.wav,53.wav,Friendly,Actor 05,11.681,Own_Recoding
54,54.wav,54.wav,Friendly,Actor 05,11.711,Own_Recoding
55,55.wav,55.wav,Friendly,Actor 05,10.999,Own_Recoding
56,56.wav,56.wav,Friendly,Actor 05,12.841,Own_Recoding
57,57.wav,57.wav,Friendly,Actor 05,11.851,Own_Recoding
58,58.wav,58.wav,Friendly,Actor 05,12.271,Own_Recoding
59,59.wav,59.wav,Friendly,Actor 05,11.851,Own_Recoding
60,60.wav,60.wav,Friendly,Actor 05,11.931,Own_Recoding
